Tara,Cod,Librarie,CostLunarBasic,CostLunarStandard,CostLunarPremium,Internet,HDI,Venit,IndiceFericire,IndiceEducatie
Argentina,ARG,4760,3.74,6.3,9.26,0.87,0.773,415.97,6.02,0.816
Austria,AUT,5640,9.03,14.67,20.32,0.93,0.916,2702.21,7.1,0.852
Bulgaria,BGR,6797,9.03,11.29,13.54,0.75,0.706,811.75,5.47,0.805
Chile,CHL,4994,7.07,9.91,12.74,0.9,0.855,687.08,6.33,0.8
Columbia,COL,4991,4.31,6.86,9.93,0.73,0.752,298.28,5.63,0.676
Costa Rica,CRI,4988,8.99,12.99,15.99,0.83,0.739,857.42,6.61,0.719
Croatia,HRV,2274,9.03,11.29,13.54,0.81,0.858,1062.69,6.13,0.791
Cehia,CZE,7325,8.83,11.49,14.15,0.83,0.889,1606.74,6.85,0.893
Estonia,EST,6456,9.03,11.29,13.54,0.91,0.89,1468.97,6.46,0.869
Franta,FRA,5445,10.16,15.24,20.32,0.86,0.903,2472.88,6.66,0.84
Germania,DEU,5668,9.03,14.67,20.32,0.91,0.942,3001.74,6.89,0.94
Grecia,GRC,4772,9.03,12.42,15.8,0.78,0.887,892.93,5.93,0.838
Guatemala,GTM,4767,7.99,10.99,13.99,0.51,0.627,480.07,6.15,0.514
Hong Kong,HKG,4746,8.08,10,11.93,0.93,0.952,2863.5,5.31,0.855
Islanda,ISL,6387,9.03,14.67,20.32,1,0.959,4044.53,7.53,0.912
India,IND,5843,2.64,6.61,8.6,0.46,0.633,568.02,4.04,0.556
Israel,ISR,5713,10.56,15.05,19.54,0.9,0.919,2525.2,7.47,0.874
Italia,ITA,5183,9.03,14.67,20.32,0.75,0.895,1695.02,6.4,0.791
Japonia,JPN,5475,8.73,13.13,17.45,0.83,0.925,2433.21,6.13,0.848
Malaysia,MYS,5952,8.29,10.65,13.02,0.97,0.803,876.14,6.01,0.719
Mexic,MEX,4993,6.62,10.43,14.24,0.76,0.758,725.69,6.33,0.678
Moldova,MDA,3937,9.03,11.29,13.54,0.61,0.767,455.31,5.82,0.71
Norvegia,NOR,4528,9.94,12.17,17.75,0.99,0.961,3280.18,7.32,0.915
Paraguay,PRY,4797,8.29,11.49,14.69,0.77,0.717,360.37,5.74,0.631
Peru,PER,4986,6.11,8.56,11.01,0.71,0.762,418.38,5.53,0.689
Filipine,PHL,6362,7.35,9.14,10.93,0.53,0.699,301.37,5.52,0.661
Polonia,POL,5109,7.13,10.58,14.76,0.85,0.876,1143.47,6.26,0.866
Romania,ROU,5303,9.03,11.29,13.54,0.84,0.821,769.14,6.59,0.762
Rusia,RUS,5711,8.13,10.84,13.56,0.88,0.822,648.94,5.66,0.832
Slovacia,SVK,7035,9.03,11.29,13.54,0.89,0.848,1055.23,6.47,0.831
Africa de Sud,ZAF,5736,6.26,10.05,12.58,0.72,0.713,1156.53,5.19,0.708
Coreea de Sud,KOR,5195,8.07,11.47,14.45,0.97,0.925,2288.94,5.95,0.862
Thailanda,THA,4948,8.34,10.43,12.52,0.85,0.8,544.66,5.84,0.661
Turcia,TUR,4639,1.97,3,4.02,0.81,0.838,478.79,4.61,0.689
Ucraina,UKR,5336,5.64,8.46,11.29,0.79,0.773,403.43,5.07,0.794
Uruguay,URY,4989,8.99,12.99,15.99,0.9,0.809,973.98,6.49,0.733
Venezuela,VEN,4797,7.99,10.99,13.99,0.62,0.691,179.47,5.21,0.741
Belgia,BEL,4990,10.16,15.24,20.32,0.93,0.937,2610.38,6.86,0.893
Singapore,SGP,6303,9.51,12.81,16.11,0.91,0.939,4774.35,6.59,0.832
Finlanda,FIN,4045,9.03,13.54,18.06,0.93,0.94,2802.58,7.8,0.905
Letonia,LVA,6450,9.03,11.29,13.54,0.91,0.863,1043.63,6.21,0.866
Noua Zeelanda,NZL,6084,8.8,12.53,16.94,0.96,0.937,2956.96,7.12,0.917
Ungaria,HUN,6884,7.64,10.71,13.78,0.89,0.846,937.36,6.04,0.815
Portugalia,PRT,5047,9.03,13.54,18.06,0.82,0.866,1090.15,5.97,0.759
Tarile de Jos,NDL,5376,9.03,13.54,18.06,0.92,0.941,3441.1,7.4,0.906
Suedia,SWE,4361,10.9,14.2,19.7,0.88,0.947,2717.71,7.4,0.904
Canada,CAN,6239,7.91,11.87,15.03,0.93,0.936,3021.36,6.96,0.899
Lithuania,LTU,6462,9.03,11.29,13.54,0.87,0.875,1186.62,6.76,0.879
Spania,ESP,5229,9.03,14.67,20.32,0.94,0.905,1923.82,6.44,0.824
Regatul Unit,GBR,6643,7.91,13.2,18.48,0.97,0.921,2905.49,6.8,0.914
Indonezia,IND,3887,8.36,10.66,12.96,0.62,0.705,334.01,5.28,0.622
Brazilia,BRA,4972,4.61,7.11,9.96,0.81,0.754,419.65,6.12,0.686
Irlanda,IRL,6486,9.03,14.67,20.32,0.95,0.945,2941.16,6.91,0.918
Elvetia,CHE,5506,12.88,20.46,26.96,0.96,0.962,6105.23,7.24,0.897
Australia,AUS,6114,7.84,12.12,16.39,0.96,0.951,3417.37,7.09,0.929
Danemarca,DNK,4558,12,15.04,19.6,0.99,0.948,3502.37,7.59,0.92
Statele Unite,USA,5818,8.99,13.99,17.99,0.92,0.911,4238.42,6.89,0.903
